ID;OTU1969004;OTU196900135;OTU196900136;OTU196900137;OTU196900138;OTU196900139;OTU196900140;OTU196900141;OTU196900142;OTU196900143;OTU196900144;OTU196900145;OTU196900146;OTU196900148;OTU196900149;OTU196900150;OTU196900151;OTU196900152;OTU196900153;OTU196900154;OTU196900155;OTU196900156;OTU196900157;OTU196900158;OTU196900159;OTU196900160;OTU196900161;OTU196900162;OTU196900163;OTU196900164;OTU196900166;OTU196900168;OTU196900171;OTU196900172;OTU196900175;OTU196900176;OTU196900178;OTU196900179;OTU196900180;OTU196900181;OTU196900182;OTU196900183;OTU196900184;OTU196900185;OTU196900186;OTU196900187;OTU196900188;OTU196900189;OTU196900190;OTU196900191;OTU196900192;OTU196900193;OTU196900194;OTU196900195;OTU196900196;OTU196900197;OTU196900198;OTU196900199;OTU196900201;OTU196900202;OTU196900203;OTU196900204;OTU196900205;OTU196900208;OTU196900209;OTU196900210;OTU196900211;OTU196900213;OTU196900214;OTU196900215;OTU196900217;OTU196900218;OTU196900219;OTU196900221;OTU196900222;OTU196900223;OTU196900224;OTU196900225;OTU196900226;OTU196900227;OTU196900228;OTU196900229;OTU196900230;OTU196900231;OTU196900232;OTU196900234;OTU196900235;OTU196900236;OTU196900237;OTU196900239;OTU196900241;OTU196900242;OTU196900246;OTU196900248;OTU196900249;OTU196900250;OTU196900252;OTU196900253;OTU196900255;OTU196900256;OTU196900260;OTU196900262;OTU196900263;OTU196900264;OTU196900265;OTU196900266;OTU196900268;OTU196900269;OTU196900271;OTU196900274;OTU196900276;OTU196900277;OTU196900279;OTU196900280;OTU196900283;OTU196900284;OTU196900286;OTU196900287;OTU196900288;OTU196900289;OTU196900291;OTU196900292;OTU196900293;OTU196900295;OTU196900296;OTU196900297;OTU196900302;OTU196900303;OTU196900305;OTU196900307;OTU196900308;OTU196900310;OTU196900312;OTU196900314;OTU196900315;OTU196900316;OTU196900317;OTU196900318;OTU196900319;OTU196900320;OTU196900323;OTU196900327;OTU196900329;OTU196900330;OTU196900331;OTU196900332;OTU196900335;OTU196900336;OTU196900337;OTU196900338;OTU196900339;OTU196900340;OTU196900341;OTU196900344;OTU196900347;OTU196900348;OTU196900349;OTU196900350;OTU196900351;OTU196900352;OTU196900353;OTU196900354;OTU196900355;OTU196900356;OTU196900357;OTU196900358;OTU196900359;OTU196900361;OTU196900363;OTU196900365;OTU196900366;OTU196900367;OTU196900370;OTU196900374;OTU196900377;OTU196900383;OTU196900384;OTU196900386;OTU196900387;OTU196900388;OTU196900391;OTU196900392;OTU196900393;OTU196900398;OTU196900400;OTU196900401;OTU196900402;OTU196900404;OTU196900406;OTU196900408;OTU196900409;OTU196900414;OTU196900418;OTU196900424;OTU196900425;OTU196900429;OTU196900431;OTU196900444;OTU196900445;OTU196900446;OTU196900449;OTU196900450;OTU196900454;OTU196900458;OTU196900464;OTU196900465;OTU196900469;OTU196900475;OTU196900476;OTU196900481;OTU196900488;OTU196900492;OTU196900496;OTU196900499;OTU196900500;OTU196900507;OTU196900513;OTU196900515;OTU196900517;OTU196900518;OTU196900520;OTU196900521;OTU196900522;OTU196900524;OTU196900527;OTU196900528;OTU196900529;OTU196900531;OTU196900532;OTU196900533;OTU196900534;OTU196900537;OTU196900538;OTU196900539;OTU196900543;OTU196900546;OTU196900547;OTU196900551;OTU196900558;OTU196900559;OTU196900561;OTU196900563;OTU196900565;OTU196900569;OTU196900571;OTU196900573;OTU196900578;OTU196900580;OTU196900582;OTU196900588;OTU196900589;OTU196900590;OTU196900591;OTU196900592;OTU196900594;OTU196900596;OTU196900597;OTU196900598;OTU196900599;OTU196900600;OTU196900601;OTU196900603;OTU196900604;OTU196900605;OTU196900606;OTU196900608;OTU196900611;OTU196900612;OTU196900613;OTU196900614;OTU196900616;OTU196900618;OTU196900619;OTU196900620;OTU196900623;OTU196900624;OTU196900628;OTU196900630;OTU196900631;OTU196900635;OTU196900648;OTU196900655;OTU196900656;OTU196900658;OTU196900661;OTU196900662;OTU196900663;OTU196900667;OTU196900672
OTU196900513;0.0;0.2;0.2;0.8;0.2;1.0;0.8;0.0;0.2;0.8;0.4;0.4;0.0;1.0;0.8;0.0;0.0;0.0;0.8;0.2;1.0;0.4;0.2;1.0;0.8;0.0;0.0;0.8;0.8;1.0;0.4;0.4;0.0;0.6;0.4;0.0;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.2;0.8;0.8;0.2;0.2;0.8;0.0;0.0;0.4;0.4;1.0;0.4;0.0;1.0;0.6;0.8;0.0;0.2;0.0;0.0;0.2;0.2;0.0;0.0;0.6;0.2;0.2;0.0;0.4;0.6;0.6;0.6;0.6;0.0;0.0;0.2;0.0;1.0;0.8;0.0;0.0;0.0;0.0;0.6;0.0;1.0;0.2;0.0;0.2;0.0;0.0;0.6;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.2;0.8;0.2;0.8;0.4;1.0;0.6;0.4;0.2;0.2;0.2;0.6;0.8;0.2;0.4;1.0;1.0;0.8;0.0;0.0;0.2;0.0;0.2;0.2;0.8;0.0;0.4;0.0;1.0;0.2;0.0;0.0;0.4;0.0;0.0;0.4;0.0;0.2;0.2;0.6;0.2;0.0;0.0;0.2;0.6;0.4;0.2;0.2;0.8;0.8;0.0;0.4;0.6;0.6;0.0;0.0;0.2;0.4;0.6;1.0;1.0;0.0;0.2;0.4;0.2;0.0;0.0;0.8;0.4;0.2;0.4;0.2;0.6;0.6;0.2;0.0;0.2;0.0;0.0;0.8;0.8;0.2;0.0;1.0;0.0;0.0;0.6;0.2;0.0;0.6;0.2;0.8;0.0;0.0;0.6;1.0;0.0;0.0;0.4;0.0;1.0;0.4;0.2;0.0;0.0;0.4;0.2;0.0;0.8;0.2;1.0;0.0;0.6;0.4;0.6;0.0;0.8;0.4;0.0;0.0;0.8;0.0;0.2;0.0;1.0;0.4;0.6;0.0;0.2;0.0;0.0;0.6;0.0;1.0;0.6;0.0;0.0;0.2;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.4;1.0;0.0;0.0;1.0;0.0;0.4;0.6;0.0;0.0;0.4;0.2;0.0;0.6;0.0;0.8;0.2;0.4;0.8;1.0;0.4;1.0;0.0;1.0;0.2;0.2;0.4;0.6;1.0;1.0;1.0;0.4;0.2;0.0;0.2;0.2;0.0;0.0
OTU196900515;0.6;0.4;0.0;0.6;0.4;0.8;0.8;0.4;0.2;1.0;0.2;1.0;0.0;0.2;1.0;0.6;0.0;0.2;0.8;0.0;0.8;0.0;1.0;0.6;1.0;0.0;0.0;1.0;0.4;0.2;0.2;0.4;0.0;0.4;0.0;0.0;0.6;0.4;0.0;0.6;0.0;0.4;0.0;0.2;0.0;0.6;1.0;0.8;0.2;0.0;0.4;0.0;0.4;0.6;0.2;0.2;0.0;0.4;0.8;0.0;0.6;1.0;0.4;0.0;0.0;0.8;0.4;0.0;1.0;0.2;1.0;0.8;0.8;0.8;0.2;0.0;0.6;0.4;1.0;0.6;0.0;0.0;0.4;0.0;0.2;0.6;0.2;0.0;0.6;0.2;0.6;0.6;1.0;1.0;0.4;1.0;0.8;0.6;1.0;0.0;0.0;0.0;0.4;0.2;0.4;0.2;0.0;0.8;0.6;1.0;0.0;0.6;0.6;0.2;0.0;0.2;0.6;0.4;0.4;0.2;0.2;0.6;0.8;1.0;0.0;0.0;0.8;0.0;0.8;0.2;0.6;0.2;0.6;0.6;0.8;0.4;0.8;0.6;0.4;0.0;0.2;0.8;0.2;1.0;0.0;0.0;0.6;0.0;0.0;1.0;0.8;0.8;0.4;0.6;1.0;0.8;0.2;0.0;0.0;0.0;0.0;0.0;0.8;1.0;0.8;1.0;0.2;0.6;0.2;0.0;0.2;0.0;0.0;0.8;0.4;0.4;0.6;0.6;0.4;0.0;0.4;0.0;0.8;0.0;0.0;0.2;0.8;0.0;0.2;0.8;0.2;0.6;0.0;0.8;0.0;0.6;1.0;0.0;0.0;0.6;0.2;0.4;0.2;0.2;0.2;0.0;0.4;0.6;0.2;0.0;0.0;0.0;0.2;0.2;1.0;0.4;0.0;1.0;0.0;0.6;0.8;0.0;0.2;0.4;0.6;0.2;0.6;0.4;0.4;0.4;0.6;0.0;0.6;0.6;0.8;0.0;0.0;0.4;0.0;0.6;1.0;0.0;0.0;1.0;0.0;0.0;0.4;0.4;0.4;0.0;0.0;0.0;1.0;0.2;0.4;0.8;0.0;0.4;0.0;0.0;0.4;0.6;0.2;0.0;0.0;0.0;0.0;1.0;0.4;0.8;0.6;0.0;0.8;0.6;1.0;0.0;1.0;0.4;0.6;0.2;0.6;0.2;0.0;0.6;0.0;0.8;1.0;0.0;0.0
OTU196900517;0.8;0.4;0.6;0.2;0.2;0.0;1.0;0.6;0.0;0.0;0.0;0.8;0.2;0.0;0.4;0.4;0.4;0.6;0.8;0.6;0.8;0.0;0.2;0.8;1.0;1.0;0.0;0.0;0.8;0.0;0.8;0.4;0.0;0.2;0.6;0.0;0.2;0.2;0.0;0.4;0.0;0.0;0.2;0.0;0.0;0.0;0.6;0.8;1.0;0.2;0.0;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.8;0.8;0.2;0.0;0.0;0.4;0.2;0.0;0.0;0.2;0.8;0.4;0.6;1.0;0.0;0.2;1.0;0.2;0.8;0.8;0.0;0.4;0.4;0.0;0.4;0.0;1.0;0.0;0.2;0.6;0.4;0.2;0.2;0.6;0.2;0.4;0.8;0.0;0.2;0.6;0.2;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.6;0.4;0.4;0.8;0.8;0.6;0.0;0.0;0.2;0.6;0.2;0.0;0.6;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;0.2;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.2;0.2;0.2;0.2;0.8;0.4;0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.6;0.4;0.4;0.0;0.6;0.2;0.2;0.0;0.6;0.4;0.0;0.0;0.0;0.4;0.2;0.8;0.2;0.0;0.8;0.0;0.0;0.0;0.2;0.2;0.8;0.0;0.6;0.2;0.8;0.0;0.6;0.2;0.0;0.6;0.0;1.0;0.4;0.0;0.6;0.6;0.0;0.0;0.0;0.6;0.0;1.0;0.0;0.6;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.2;0.4;0.0;0.0;0.6;0.6;0.2;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.6;0.0;0.0;0.4;1.0;0.2;0.6;0.2;0.2;0.0;0.8;0.0;0.2;0.2;0.0;1.0;0.2;0.6;1.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OTU196900518;0.4;0.8;1.0;0.0;0.2;0.6;0.6;0.4;0.0;0.6;0.0;0.2;0.0;0.2;0.0;0.4;0.6;0.0;0.4;0.4;1.0;0.2;0.6;0.0;0.2;0.4;0.0;0.0;0.0;0.0;0.6;0.4;0.0;0.2;0.6;1.0;0.2;0.4;0.8;0.4;0.0;0.0;0.2;0.0;1.0;0.0;0.0;0.4;0.4;0.0;0.0;0.8;0.2;1.0;0.0;0.0;0.0;0.0;0.6;0.8;0.8;0.8;0.4;0.4;0.0;0.0;0.0;0.0;0.8;0.4;0.2;0.6;1.0;0.4;0.4;0.0;1.0;0.4;0.8;0.6;0.4;1.0;0.8;0.0;0.4;1.0;0.2;0.2;0.8;0.2;0.4;0.0;0.2;0.2;0.2;0.6;0.0;0.0;0.4;0.6;0.0;0.0;0.2;0.0;0.0;0.8;0.0;0.2;0.8;0.8;0.2;0.0;0.2;0.0;0.0;0.0;0.6;0.4;0.4;0.2;1.0;0.0;0.8;0.4;0.0;1.0;0.4;0.4;0.6;0.0;0.2;0.0;0.0;0.2;0.8;0.0;0.2;0.2;0.0;0.0;0.0;0.8;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8;0.6;0.2;0.4;0.8;0.0;0.4;0.0;0.0;0.4;0.2;0.2;0.4;0.8;0.6;0.2;0.6;0.6;0.0;0.0;0.6;0.4;0.0;0.0;0.6;0.2;0.2;0.0;0.8;0.0;0.4;0.0;1.0;0.6;0.0;0.6;0.0;0.4;1.0;0.6;0.6;0.0;0.8;0.0;1.0;0.0;0.2;0.8;0.8;0.0;0.2;1.0;0.4;0.2;0.8;0.0;0.0;0.0;0.4;1.0;0.4;0.2;0.0;0.2;0.2;0.6;0.2;0.4;0.6;0.0;1.0;0.6;1.0;0.0;0.4;0.0;0.0;1.0;0.6;0.0;0.2;0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.6;0.0;0.2;0.2;0.8;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.4;0.0;0.2;0.0;0.0;0.6;0.6;0.2;0.2;0.4;0.0;0.0;0.8;0.2;1.0;0.8;0.0;0.4;0.2;1.0;1.0;0.0;0.6;0.8;0.6;0.4;0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0
OTU196900520;1.0;0.6;0.0;0.4;0.4;0.4;0.4;0.8;1.0;0.2;0.8;1.0;0.4;0.4;0.6;0.2;0.0;0.8;1.0;1.0;0.6;0.6;1.0;0.6;1.0;0.2;0.0;0.2;0.2;1.0;1.0;0.8;1.0;0.6;0.8;0.4;0.6;0.6;0.6;1.0;1.0;0.0;0.8;0.8;0.8;0.0;0.0;0.6;0.4;0.8;0.0;1.0;0.8;0.6;0.0;0.6;1.0;1.0;0.6;0.8;0.2;1.0;0.0;0.6;0.0;0.2;0.4;0.4;0.6;0.6;0.8;1.0;0.6;1.0;0.6;0.8;0.4;0.8;0.4;1.0;0.2;0.6;0.6;1.0;0.8;0.6;1.0;0.8;0.2;1.0;1.0;0.8;0.8;0.0;0.2;0.6;1.0;0.4;1.0;0.2;1.0;0.0;0.6;1.0;0.2;1.0;0.4;0.0;0.2;0.8;1.0;0.6;0.8;0.2;0.4;1.0;0.2;1.0;1.0;1.0;0.0;0.0;0.2;0.4;0.4;0.0;1.0;0.4;0.0;0.2;0.8;0.6;0.8;0.8;1.0;0.4;0.6;0.8;0.2;0.0;0.8;1.0;0.6;1.0;0.6;0.4;0.6;0.4;0.8;0.8;1.0;1.0;0.0;0.4;0.8;0.8;0.4;0.4;0.8;0.4;0.8;0.8;1.0;0.0;0.0;0.8;0.2;0.8;0.8;0.8;0.2;0.2;0.4;0.6;0.4;0.6;0.8;0.8;0.2;0.0;0.2;1.0;0.0;0.4;0.4;0.0;1.0;0.8;0.4;1.0;0.0;0.0;0.0;0.6;0.8;0.4;0.8;0.8;0.2;0.2;0.2;0.6;0.2;0.6;0.8;0.0;0.4;1.0;0.6;0.2;0.8;0.8;0.8;0.2;0.8;0.2;0.6;0.8;0.6;0.6;1.0;0.8;0.8;0.8;0.2;0.6;0.4;0.2;0.4;0.2;0.6;0.4;1.0;0.8;0.0;0.4;0.6;0.6;0.6;0.2;0.4;0.6;0.6;0.2;0.2;1.0;0.8;0.8;0.2;1.0;0.4;0.6;0.2;0.0;0.4;0.4;0.4;0.2;0.8;0.8;1.0;0.4;0.0;0.8;1.0;0.2;0.2;0.2;0.0;0.8;0.2;0.4;0.6;0.8;0.0;0.0;0.0;0.2;1.0;0.4;1.0;1.0;0.4;0.8;0.4;0.0;0.8;0.8;0.2
OTU196900521;0.4;0.4;0.0;0.4;0.0;0.4;0.0;1.0;0.0;0.8;0.4;0.6;0.2;0.2;1.0;0.4;0.2;0.0;0.4;0.4;0.2;0.8;1.0;0.2;0.2;0.8;0.6;0.2;0.0;0.6;0.6;0.2;1.0;0.0;0.0;0.4;0.0;0.8;0.4;0.0;0.4;0.0;0.8;0.4;0.0;0.8;0.6;1.0;0.4;0.2;0.8;0.6;0.6;0.6;0.6;0.0;0.4;0.6;0.6;0.6;0.6;0.0;0.0;0.2;0.6;0.8;0.2;0.4;0.6;0.6;0.4;0.4;0.6;0.6;0.2;0.2;1.0;0.2;0.2;1.0;0.0;0.0;0.6;0.0;0.0;0.4;1.0;0.2;0.6;0.8;0.0;0.6;0.8;0.6;0.4;0.6;0.6;0.2;0.6;0.0;0.0;0.4;0.6;0.6;0.6;0.0;0.0;0.0;0.8;0.8;0.2;0.2;0.2;0.4;0.4;0.0;0.8;0.2;0.2;0.4;1.0;0.4;0.4;0.4;0.4;0.0;1.0;0.2;0.8;0.4;0.4;0.6;0.6;0.8;0.4;0.2;0.2;1.0;0.0;0.2;0.4;1.0;0.4;0.6;0.6;1.0;1.0;0.0;0.0;0.2;0.0;0.8;0.4;0.8;0.6;0.0;0.6;0.8;0.2;0.0;0.0;0.6;1.0;0.0;0.6;0.4;0.2;1.0;1.0;0.0;0.0;0.4;0.2;0.6;0.8;0.0;0.4;1.0;0.8;0.6;0.0;0.2;0.8;0.0;0.4;0.0;0.4;0.4;0.2;1.0;0.2;0.8;0.2;0.0;0.0;0.4;1.0;0.4;0.2;1.0;0.0;0.0;0.2;0.2;0.8;0.6;0.0;0.8;0.6;0.2;0.0;0.0;0.0;0.8;0.4;0.4;0.0;0.0;0.8;1.0;0.8;1.0;0.0;1.0;0.0;0.2;0.8;0.2;0.2;0.4;0.0;0.4;0.2;0.0;0.6;0.4;0.0;0.4;0.0;0.2;0.0;0.4;0.0;0.0;0.2;0.0;0.4;0.2;0.8;0.4;0.8;0.4;0.0;0.0;0.0;0.2;0.0;0.8;1.0;0.6;0.6;0.2;0.2;1.0;0.2;0.0;0.6;1.0;0.6;0.8;0.8;0.8;0.8;0.8;1.0;0.6;0.0;1.0;0.4;0.8;0.6;0.4;0.4;1.0;0.2;1.0;0.4;0.2;0.0
OTU196900522;0.4;0.4;0.6;0.0;0.0;0.4;0.4;0.4;0.2;0.0;0.0;0.2;0.0;0.0;0.8;0.6;0.6;0.4;0.4;0.8;0.6;0.0;0.2;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.6;0.4;0.6;0.4;0.0;0.0;0.0;0.6;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;1.0;0.2;0.2;0.0;0.4;0.2;0.2;0.0;0.8;0.0;0.0;0.6;0.0;0.2;0.8;0.2;0.2;0.0;0.2;0.0;0.0;0.2;0.4;0.4;0.2;0.8;0.4;0.0;0.4;0.4;0.2;0.6;0.8;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.2;0.6;0.8;0.2;0.0;0.4;0.4;0.0;0.6;1.0;0.0;0.4;0.8;0.4;0.0;0.0;0.0;0.2;0.8;0.0;0.4;0.6;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.6;0.0;0.2;0.8;0.8;0.4;0.0;0.4;0.2;0.8;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.8;0.4;0.4;0.4;0.8;0.4;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.6;0.4;0.4;0.0;1.0;0.2;0.2;0.0;1.0;0.2;0.0;0.0;0.0;0.8;0.4;0.6;0.4;0.0;0.6;0.0;0.4;0.0;0.2;0.0;0.4;0.0;0.4;0.0;0.4;0.0;0.6;0.0;0.2;0.6;0.0;1.0;0.2;0.0;0.2;0.0;0.0;0.2;0.0;0.8;0.2;0.0;0.0;0.8;0.0;1.0;0.0;0.0;0.0;0.8;0.0;0.0;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.6;0.6;0.0;0.0;0.4;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4;0.4;0.2;0.0;0.2;0.0;0.2;0.0;0.0;0.2;0.8;0.2;0.2;0.2;0.2;0.2;0.8;0.6;0.0;0.2;0.0;1.0;0.0;0.8;1.0;0.6;0.6;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
OTU196900524;1.0;0.8;0.4;0.0;0.2;0.0;0.0;0.0;0.2;0.6;0.4;0.4;0.4;0.4;0.4;0.8;0.2;0.0;0.0;0.4;0.0;0.4;0.6;0.0;0.0;1.0;0.4;0.2;1.0;0.2;0.0;0.6;0.6;0.0;0.2;0.0;1.0;0.8;0.2;0.2;0.4;0.0;0.4;0.4;0.6;0.4;0.6;0.6;1.0;0.8;0.0;0.4;0.2;0.0;0.6;0.0;0.8;0.0;0.8;0.4;0.4;0.2;0.4;0.4;0.0;0.8;0.0;0.4;1.0;0.6;0.4;0.8;0.8;1.0;0.4;0.4;1.0;0.0;1.0;0.2;0.6;0.2;0.2;0.0;0.8;0.2;0.2;0.0;0.8;1.0;0.2;1.0;0.6;0.6;1.0;0.8;0.2;0.2;0.4;0.6;0.8;0.2;0.0;0.2;1.0;0.2;0.4;0.0;0.4;0.6;0.8;0.0;0.4;0.0;0.6;0.0;1.0;0.0;1.0;1.0;0.8;0.6;0.0;1.0;1.0;0.2;0.0;0.2;0.0;0.2;0.2;0.4;0.0;0.0;0.8;0.4;0.2;0.8;0.2;0.2;0.4;0.4;1.0;1.0;0.0;0.2;0.0;0.2;0.2;0.0;0.8;0.8;0.2;0.4;0.0;0.6;0.6;0.2;0.0;0.0;1.0;0.8;0.0;0.4;0.0;0.2;0.0;0.0;1.0;0.4;0.2;0.2;0.0;0.2;0.0;0.0;0.6;1.0;0.8;0.4;0.0;1.0;0.2;0.0;0.6;0.0;0.0;1.0;0.0;0.0;0.6;0.4;0.4;0.0;0.2;0.0;0.0;0.2;0.4;1.0;0.0;0.2;0.8;0.0;0.2;1.0;0.2;0.0;0.2;0.6;0.2;0.4;0.0;0.2;0.0;0.0;0.4;0.4;0.0;0.4;0.8;1.0;0.0;1.0;0.8;0.6;0.6;0.4;0.4;0.2;0.2;0.0;0.4;0.0;0.0;0.2;0.8;0.6;0.6;0.8;0.0;0.6;0.6;0.0;1.0;0.0;0.4;0.2;0.6;0.2;0.2;0.4;0.4;0.8;0.2;0.6;0.4;0.0;0.2;0.2;0.6;0.4;0.2;1.0;0.6;0.2;0.6;0.0;0.4;0.0;0.0;0.8;0.6;0.4;0.8;1.0;0.4;0.8;0.6;0.0;0.2;0.0;0.0;0.6;0.4;0.4;0.4;0.6;0.2
OTU196900527;0.4;0.6;1.0;0.0;0.4;0.6;0.8;0.4;0.0;0.2;0.0;0.6;0.0;0.2;0.6;0.2;0.6;0.0;0.4;1.0;1.0;0.0;0.4;0.8;0.8;0.4;0.0;0.6;0.8;0.0;0.8;0.6;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.6;0.0;0.0;0.6;0.0;0.0;0.0;1.0;0.8;0.6;0.0;0.0;0.2;0.0;1.0;0.0;0.0;0.2;0.0;0.2;0.0;0.4;0.6;0.4;0.2;0.2;0.0;0.0;0.0;0.4;0.2;0.8;0.8;0.0;0.8;0.2;0.8;1.0;0.2;0.4;0.6;0.0;0.0;0.8;0.0;0.0;0.6;1.0;0.0;1.0;0.8;0.4;0.2;0.0;0.4;0.4;1.0;0.0;0.0;1.0;0.4;0.0;0.0;0.2;0.0;0.0;0.8;0.0;0.0;0.6;0.2;0.4;1.0;0.2;0.0;0.0;0.0;0.4;0.6;0.0;0.2;0.4;0.6;0.8;0.2;0.0;0.6;1.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2;1.0;0.0;0.0;0.6;0.0;0.0;0.2;0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.4;1.0;0.6;0.2;0.8;0.6;0.0;0.0;0.4;0.2;0.0;0.0;0.4;0.8;0.6;0.6;0.2;0.0;0.0;0.0;0.4;0.0;0.2;1.0;0.0;0.2;0.0;1.0;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.2;0.6;1.0;0.2;1.0;0.0;0.4;0.0;0.6;0.0;0.6;0.8;0.4;0.0;0.2;1.0;0.4;0.0;0.0;0.0;0.0;0.6;0.2;0.6;0.0;0.2;1.0;0.2;0.4;0.4;0.0;0.0;0.6;0.0;0.0;0.2;0.0;0.0;0.8;1.0;0.0;1.0;0.0;0.0;0.2;0.6;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.2;0.6;0.0;0.0;0.4;1.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.8;0.2;0.0;0.0;0.6;0.0;0.8;0.0;0.2;0.4;0.0;0.2;0.2;0.0;0.2;0.8;0.6;0.2;0.0;1.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OTU196900528;1.0;0.6;0.6;0.2;0.0;0.8;0.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.2;0.6;0.0;0.0;0.6;0.8;0.2;0.0;1.0;0.4;0.0;0.0;0.2;0.2;0.0;0.6;0.4;0.0;0.0;0.0;0.2;0.0;1.0;0.0;1.0;0.0;0.0;0.4;0.0;0.2;0.0;0.8;1.0;0.4;0.2;0.0;0.2;0.0;0.4;0.0;0.4;0.2;0.0;0.0;0.0;0.6;0.4;0.2;0.0;0.0;0.6;0.0;0.0;0.2;0.2;0.4;0.0;0.0;0.6;0.0;1.0;1.0;0.0;1.0;0.8;0.0;0.6;0.8;0.0;0.4;0.2;1.0;0.2;0.8;0.4;0.2;0.0;0.0;0.2;0.2;0.6;0.0;0.0;0.8;0.2;0.2;0.0;0.0;0.0;0.0;0.6;0.0;0.0;1.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.4;0.0;1.0;0.8;0.2;0.0;0.2;0.0;0.8;0.8;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.6;0.4;0.0;0.0;0.4;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.8;0.4;0.2;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.4;0.6;0.2;0.2;0.2;0.2;0.0;0.0;0.6;0.0;0.0;0.8;0.2;0.2;0.0;0.4;0.0;0.2;0.0;0.6;0.2;0.0;0.0;0.0;0.8;0.6;0.8;0.6;0.0;0.8;0.0;0.6;0.0;0.4;0.6;1.0;0.0;0.2;0.6;0.8;0.0;0.6;0.0;0.0;0.6;0.4;0.4;0.0;0.0;1.0;0.2;0.4;0.8;0.2;0.0;0.2;0.0;0.0;0.6;0.2;0.0;0.6;0.0;1.0;0.6;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;1.0;0.0;0.0;0.6;0.6;0.0;0.0;0.0;1.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.4;0.2;0.8;0.0;0.2;0.0;0.0;0.6;0.2;0.0;0.0;0.0;0.2;0.2;0.0;0.2;0.8;0.4;0.4;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
